"function_name","tier","tier_label","reason_codes","evidence_source_ids","evidence_source_titles","evidence_source_urls","evidence_probe_tasks","source_binding_status","notes"
"CUBEMEMBERPROPERTY","4","high_interest","cube_context","ECS-001|ECS-002|ECS-069","CUBEMEMBERPROPERTY function","https://support.microsoft.com/en-us/office/cubememberproperty-function-001e57d6-b35a-49e5-abcd-05ff599e8951","ECS-EB-020|ECS-EB-037|ECS-EB-046","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"CUBERANKEDMEMBER","4","high_interest","cube_context","ECS-001|ECS-002|ECS-070","CUBERANKEDMEMBER function","https://support.microsoft.com/en-us/office/cuberankedmember-function-07efecde-e669-4075-b4bf-6b40df2dc4b3","ECS-EB-020|ECS-EB-037|ECS-EB-046","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"CUBESET","4","high_interest","cube_context","ECS-001|ECS-002|ECS-053","CUBESET function","https://support.microsoft.com/en-us/office/cubeset-function-5b2146bd-62d6-4d04-9d8f-670e993ee1d9","ECS-EB-020|ECS-EB-037|ECS-EB-046","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"CUBESETCOUNT","4","high_interest","cube_context","ECS-001|ECS-002|ECS-071","CUBESETCOUNT function","https://support.microsoft.com/en-us/office/cubesetcount-function-c4c2a438-c1ff-4061-80fe-982f2d705286","ECS-EB-020|ECS-EB-037|ECS-EB-046","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"CUBEVALUE","4","high_interest","cube_context","ECS-001|ECS-002|ECS-054","CUBEVALUE function","https://support.microsoft.com/en-us/office/cubevalue-function-8733da24-26d1-4e34-9b3a-84a8f00dcbe0","ECS-EB-020|ECS-EB-037|ECS-EB-046","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"DROP","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-072","DROP function","https://support.microsoft.com/en-us/office/drop-function-1cb4e151-9e17-4838-abe5-9ba48d8c6a34","ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"ENCODEURL","4","high_interest","external_data_or_services","ECS-001|ECS-002|ECS-073","ENCODEURL function","https://support.microsoft.com/en-us/office/encodeurl-function-07c7fb90-7c60-4bff-8687-fac50fe33d0e","ECS-EB-015|ECS-EB-020|ECS-EB-021|ECS-EB-046","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"EXPAND","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-074","EXPAND function","https://support.microsoft.com/en-us/office/expand-function-7433fba5-4ad1-41da-a904-d5d95808bc38","ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"FILTER","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-075","FILTER function","https://support.microsoft.com/en-us/office/filter-function-f4f7cb66-82eb-4767-8f7c-4877ad80c759","ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"FILTERXML","4","high_interest","external_data_or_services","ECS-001|ECS-002|ECS-076","FILTERXML function","https://support.microsoft.com/en-us/office/filterxml-function-4df72efc-11ec-4951-86f5-c1374812f5b7","ECS-EB-015|ECS-EB-020|ECS-EB-021|ECS-EB-046","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"GROUPBY","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-055","GROUPBY function","https://support.microsoft.com/en-us/office/groupby-function-5e08ae8c-6800-4b72-b623-c41773611505","ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"HSTACK","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-077","HSTACK function","https://support.microsoft.com/en-us/office/hstack-function-98c4ab76-10fe-4b4f-8d5f-af1c125fe8c2","ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"ISOMITTED","4","high_interest","functional_lambda_family","ECS-001|ECS-002|ECS-048","ISOMITTED function","https://support.microsoft.com/en-us/office/isomitted-function-831d6fbc-0f07-40c4-9c5b-9c73fd1d60c1","ECS-EB-019|ECS-EB-028|ECS-EB-030","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"LAMBDA","4","high_interest","functional_lambda_family","ECS-001|ECS-002|ECS-042","LAMBDA function","https://support.microsoft.com/en-us/office/lambda-function-bd212d27-1cd1-4321-a34a-ccbf254b8b67","ECS-EB-019|ECS-EB-028|ECS-EB-030","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"LET","4","high_interest","functional_lambda_family","ECS-001|ECS-002|ECS-041","LET function","https://support.microsoft.com/en-us/office/let-function-34842dd8-b92b-4d3f-b325-b8b8f9908999","ECS-EB-019|ECS-EB-028|ECS-EB-030","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"MAKEARRAY","4","high_interest","functional_lambda_family","ECS-001|ECS-002|ECS-047","MAKEARRAY function","https://support.microsoft.com/en-us/office/makearray-function-b80da5ad-b338-4149-a523-5b221da09097","ECS-EB-019|ECS-EB-028|ECS-EB-030","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"MAP","4","high_interest","functional_lambda_family","ECS-001|ECS-002|ECS-046","MAP function","https://support.microsoft.com/en-us/office/map-function-48006093-f97c-47c1-bfcc-749263bb1f01","ECS-EB-019|ECS-EB-028|ECS-EB-030","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"PIVOTBY","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-056","PIVOTBY function","https://support.microsoft.com/en-us/office/pivotby-function-de86516a-90ad-4ced-8522-3a25fac389cf","ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"RANDARRAY","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-049","RANDARRAY function","https://support.microsoft.com/en-us/office/randarray-function-21261e55-3bec-4885-86a6-8b0a47fd4d33","ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"REDUCE","4","high_interest","functional_lambda_family","ECS-001|ECS-002|ECS-044","REDUCE function","https://support.microsoft.com/en-us/office/reduce-function-42e39910-b345-45f3-84b8-0642b568b7cb","ECS-EB-019|ECS-EB-028|ECS-EB-030","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"SCAN","4","high_interest","functional_lambda_family","ECS-001|ECS-002|ECS-045","SCAN function","https://support.microsoft.com/en-us/office/scan-function-d58dfd11-9969-4439-b2dc-e7062724de29","ECS-EB-019|ECS-EB-028|ECS-EB-030","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"SEQUENCE","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-078","SEQUENCE function","https://support.microsoft.com/en-us/office/sequence-function-57467a98-57e0-4817-9f14-2eb78519ca90","ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"SORT","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-079","SORT function","https://support.microsoft.com/en-us/office/sort-function-22f63bd0-ccc8-492f-953d-c20e8e44b86c","ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"SORTBY","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-080","SORTBY function","https://support.microsoft.com/en-us/office/sortby-function-cd2d7a62-1b93-435c-b561-d6a35134f28f","ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"STOCKHISTORY","4","high_interest","external_data_or_services","ECS-001|ECS-002|ECS-081","STOCKHISTORY function","https://support.microsoft.com/en-us/office/stockhistory-function-1ac8b5b3-5f62-4d94-8ab8-7504ec7239a8","ECS-EB-015|ECS-EB-020|ECS-EB-021|ECS-EB-046","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"TAKE","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-082","TAKE function","https://support.microsoft.com/en-us/office/take-function-25382ff1-5da1-4f78-ab43-f33bd2e4e003","ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"TOCOL","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-083","TOCOL function","https://support.microsoft.com/en-us/office/tocol-function-22839d9b-0b55-4fc1-b4e6-2761f8f122ed","ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"TOROW","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-084","TOROW function","https://support.microsoft.com/en-us/office/torow-function-b90d0964-a7d9-44b7-816b-ffa5c2fe2289","ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"TRANSPOSE","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-085","TRANSPOSE function","https://support.microsoft.com/en-us/office/transpose-function-ed039415-ed8a-4a81-93e9-4b6dfac76027","ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"TRIMRANGE","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-086","TRIMRANGE function","https://support.microsoft.com/en-us/office/trimrange-function-d7812248-3bc5-4c6b-901c-1afa9564f999","ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"UNIQUE","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-087","UNIQUE function","https://support.microsoft.com/en-us/office/unique-function-c5ab87fd-30a3-4ce9-9d1a-40204fb85e1e","ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"VSTACK","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-088","VSTACK function","https://support.microsoft.com/en-us/office/vstack-function-a4b86897-be0f-48fc-adca-fcc10d795a9c","ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"WEBSERVICE","4","high_interest","external_data_or_services","ECS-001|ECS-002|ECS-089","WEBSERVICE function","https://support.microsoft.com/en-us/office/webservice-function-0546a35a-ecc6-4739-aed7-c0b7ce1562c4","ECS-EB-015|ECS-EB-020|ECS-EB-021|ECS-EB-046","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"WRAPCOLS","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-090","WRAPCOLS function","https://support.microsoft.com/en-us/office/wrapcols-function-d038b05a-57b7-4ee0-be94-ded0792511e2","ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"WRAPROWS","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-091","WRAPROWS function","https://support.microsoft.com/en-us/office/wraprows-function-796825f3-975a-4cee-9c84-1bbddf60ade0","ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"XLOOKUP","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-092","XLOOKUP function","https://support.microsoft.com/en-us/office/xlookup-function-b7fd680e-6d10-43e6-84f9-88eae8bf5929","ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034","specific_function_source_bound","Specific function source mapped plus catalog anchors"
"XMATCH","4","high_interest","dynamic_array_or_spill","ECS-001|ECS-002|ECS-093","XMATCH function","https://support.microsoft.com/en-us/office/xmatch-function-d966da31-7a6b-4a13-a1c6-5a33ed6a0312","ECS-EB-018|ECS-EB-028|ECS-EB-029|ECS-EB-034","specific_function_source_bound","Specific function source mapped plus catalog anchors"
