"function_name","function_url","category","version_marker","tier","tier_label","reason_codes","context_note","platform_note"
"SORT","https://support.microsoft.com/en-us/office/sort-function-22f63bd0-ccc8-492f-953d-c20e8e44b86c","Lookup and reference functions","","4","high_interest","dynamic_array_or_spill","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"SORTBY","https://support.microsoft.com/en-us/office/sortby-function-cd2d7a62-1b93-435c-b561-d6a35134f28f","Lookup and reference functions","","4","high_interest","dynamic_array_or_spill","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"STOCKHISTORY","https://support.microsoft.com/en-us/office/stockhistory-function-1ac8b5b3-5f62-4d94-8ab8-7504ec7239a8","Information functions","","4","high_interest","external_data_or_services","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"TAKE","https://support.microsoft.com/en-us/office/take-function-25382ff1-5da1-4f78-ab43-f33bd2e4e003","Lookup and reference functions","","4","high_interest","dynamic_array_or_spill","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"TOCOL","https://support.microsoft.com/en-us/office/tocol-function-22839d9b-0b55-4fc1-b4e6-2761f8f122ed","Lookup and reference functions","","4","high_interest","dynamic_array_or_spill","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"TOROW","https://support.microsoft.com/en-us/office/torow-function-b90d0964-a7d9-44b7-816b-ffa5c2fe2289","Lookup and reference functions","","4","high_interest","dynamic_array_or_spill","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"TRANSPOSE","https://support.microsoft.com/en-us/office/transpose-function-ed039415-ed8a-4a81-93e9-4b6dfac76027","Lookup and reference functions","","4","high_interest","dynamic_array_or_spill","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"TRIMRANGE","https://support.microsoft.com/en-us/office/trimrange-function-d7812248-3bc5-4c6b-901c-1afa9564f999","Lookup and reference functions","","4","high_interest","dynamic_array_or_spill","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"UNIQUE","https://support.microsoft.com/en-us/office/unique-function-c5ab87fd-30a3-4ce9-9d1a-40204fb85e1e","Our 10 featured functions","","4","high_interest","dynamic_array_or_spill","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"VSTACK","https://support.microsoft.com/en-us/office/vstack-function-a4b86897-be0f-48fc-adca-fcc10d795a9c","Lookup and reference functions","","4","high_interest","dynamic_array_or_spill","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"WEBSERVICE","https://support.microsoft.com/en-us/office/webservice-function-0546a35a-ecc6-4739-aed7-c0b7ce1562c4","Web functions","","4","high_interest","external_data_or_services","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"WRAPCOLS","https://support.microsoft.com/en-us/office/wrapcols-function-d038b05a-57b7-4ee0-be94-ded0792511e2","Lookup and reference functions","","4","high_interest","dynamic_array_or_spill","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"WRAPROWS","https://support.microsoft.com/en-us/office/wraprows-function-796825f3-975a-4cee-9c84-1bbddf60ade0","Lookup and reference functions","","4","high_interest","dynamic_array_or_spill","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"XLOOKUP","https://support.microsoft.com/en-us/office/xlookup-function-b7fd680e-6d10-43e6-84f9-88eae8bf5929","Our 10 featured functions","","4","high_interest","dynamic_array_or_spill","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"XMATCH","https://support.microsoft.com/en-us/office/xmatch-function-d966da31-7a6b-4a13-a1c6-5a33ed6a0312","Lookup and reference functions","","4","high_interest","dynamic_array_or_spill","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"CELL","https://support.microsoft.com/en-us/office/cell-function-51bd39a5-f338-4dbe-a33f-955d67c2b2cf","Information functions","","5","critical_interest","volatile_or_recalc_sensitive|grid_reference_sensitive","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"INDIRECT","https://support.microsoft.com/en-us/office/indirect-function-474b3a3a-8a26-4f44-b491-92b6306fa261","Lookup and reference functions","","5","critical_interest","volatile_or_recalc_sensitive|grid_reference_sensitive","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"INFO","https://support.microsoft.com/en-us/office/info-function-725f259a-0e4b-49b3-8b52-58815c69acae","Information functions","","5","critical_interest","volatile_or_recalc_sensitive|grid_reference_sensitive","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"OFFSET","https://support.microsoft.com/en-us/office/offset-function-c8de19ae-dd79-4b9b-a14e-b4d906d11b66","Lookup and reference functions","","5","critical_interest","volatile_or_recalc_sensitive|grid_reference_sensitive","","Union target across Desktop/Mac/Web. Track exceptions per-function as discovered."
"RTD","https://support.microsoft.com/en-us/office/rtd-function-e0cc001a-56f0-470a-9b19-9455dc0eb593","Lookup and reference functions","","5","critical_interest","external_data_or_services","","RTD is COM Automation based; treat as Windows-first behavior and track cross-platform parity gaps explicitly."
