path,sha256,bytes
.\prompts\runs\20260222-011351-prompt-pack\responses\13_round_milestone_map.md,88040d54ed08e50ea69570974e5c924d474e9707deb4b4a066759ddc48f74186,9645
.\prompts\runs\20260222-011351-prompt-pack\responses\14_consistency_audit_refactor_suggestions.md,dd42fb098be44a6ea4eb832a88dc59f26b0491457a204b1b8f671f5c3115dcbd,6447
.\prompts\runs\20260222-011351-prompt-pack\responses\15_triad_design_stream_external_updates.md,b29abe973b74b76ab5e4aa6a5b7ed1d3f3d2d0d61fa75206fed007c2cd6a54ac,8634
.\prompts\runs\20260222-011351-prompt-pack\responses\16_triad_assurance_stream_external_updates.md,e5421d660e089efec9417f9f931510e92d56f5c38e25233694fafbbd8cae574a,9983
.\prompts\runs\20260222-011351-prompt-pack\responses\17_triad_delivery_stream_external_updates.md,60638020a16201b4605bbf849bbe71fc2931991b34403d23634270d92da69548,5780
.\prompts\runs\20260222-011351-prompt-pack\responses\18_triad_synthesis_stream_external_updates.md,1b45b34fc5b19aead5817c29ada141b19466325e4270de01280f63c637ce03b1,8667
research/runs/20260222-082019-run1-master-landscape/outputs/deep-research-report.md,36e4b474b89a53d03d79d02d3b7b064789d1bec28519b866fe440959014e69a5,63618
research/runs/20260222-082019-run2-concurrency-mvcc/outputs/deep-research-report.md,0a94adf637c200b42862e022741f0c093c785ac76f160dfcb603025a53850cb7,30550
research/runs/20260222-083307-run1-master-landscape-internal/outputs/response.md,0c04df8a9e9939b67c4d8de50c8a6d84566c9b6fd4206b2040691359ec06a53e,12408
research/runs/20260222-083307-run1-master-landscape-internal/outputs/research_report.md,5a2955673bf938319c2127580e3005eb6a14dd431374de0ef19a3d2fc6a7ce1e,1249
research/runs/20260222-083307-run2-concurrency-mvcc-internal/outputs/response.md,df8555f1fd6ad5f0a89ba73e5c496e64639184a1e0ae2c6d617453195137147a,7051
research/runs/20260222-083307-run2-concurrency-mvcc-internal/outputs/research_report.md,69d87eefede40b84d4201f0e5018c1d46bba38c39c53b673a9fcd01b34465e2e,1168
research/runs/20260222-083307-run2-concurrency-mvcc-internal/outputs/combined_findings.md,72bbaf0e3240a0ff06dc1f724e4f0dcd41e3a0e6793bacd4150b331a2af83038,884
research/runs/20260222-084640-run3-asupersync-deep-dive-internal/outputs/response.md,a9d60e68b259bb009a4530288d8c99b65e216d7db0712feb6044cae5aa7270e6,11316
research/runs/20260222-084640-run3-asupersync-deep-dive-internal/outputs/research_report.md,3d15afde6602d36d4f2f2050f06e48448d63761ad8daa1deaf74233680d5cb5b,2184
research/runs/20260222-123425-run4-janestreet-oxcaml-incremental-internal/outputs/response.md,a1b86713384fb2edb143ddb517d32434cfe5cb4fd025791cef416c40ce9e2bb4,8384
research/runs/20260222-123425-run4-janestreet-oxcaml-incremental-internal/outputs/research_report.md,dd80ed67a7c466800798145b42740e4a52bff504f43a91ef566a41b40b543a00,1955
CHARTER.md,95fd73c897abfbd44454460526b61fef75e40ba4325cf4eb18ec587870703630,5718
ARCHITECTURE_AND_REQUIREMENTS.md,b77c495ed241d656d7e6ff6ceb5bd498513dc064dc066b327d479d016a33256b,12839
OPERATIONS.md,e54aeabe6a327429a8327208345eaa0c6c115cb0c0ea569749c0ad8456803eb2,10593
notes/RESEARCH_NOTES.md,11c0172684db703de62fd75023a0cf6834012b0704ce42827494b1120be68e05,8289
notes/BRAINSTORM_NOTES.md,1797ac7d115d51564138de1243b611c2506a3665891bdbdb6ec443137c233702,7115
