"sync_id","function_name","tier","reason_codes","evidence_source_ids","new_probe_ids","probe_result_summary","evidence_status_before","evidence_status_after","review_status_before","review_status_after","sync_action","notes"
"RCS1-003","RAND","3","volatile_or_recalc_sensitive","ECS-001|ECS-002|ECS-102","RCW1-003","supports_reason_code","source_probe_bound","source_probe_bound","triaged_source_probe_bound","triaged_source_probe_bound","synced_probe_ids_and_promoted_status","volatile_support_observed"
"RCS1-004","RANDBETWEEN","3","volatile_or_recalc_sensitive","ECS-001|ECS-002|ECS-103","RCW1-004","supports_reason_code","source_probe_bound","source_probe_bound","triaged_source_probe_bound","triaged_source_probe_bound","synced_probe_ids_and_promoted_status","volatile_support_observed"
"RCS1-005","ROW","3","grid_reference_sensitive","ECS-001|ECS-002|ECS-104","RCW1-005","supports_reason_code","source_probe_bound","source_probe_bound","triaged_source_probe_bound","triaged_source_probe_bound","synced_probe_ids_and_promoted_status","grid_reference_support_observed"
"RCS1-007","ROWS","3","grid_reference_sensitive","ECS-001|ECS-002|ECS-105","RCW1-007","supports_reason_code","source_probe_bound","source_probe_bound","triaged_source_probe_bound","triaged_source_probe_bound","synced_probe_ids_and_promoted_status","grid_reference_support_observed"
"RCS1-013","SHEET","3","grid_reference_sensitive","ECS-001|ECS-002|ECS-106","RCW1-013","supports_reason_code","source_probe_bound","source_probe_bound","triaged_source_probe_bound","triaged_source_probe_bound","synced_probe_ids_and_promoted_status","grid_reference_support_observed"
"RCS1-014","SHEETS","3","grid_reference_sensitive","ECS-001|ECS-002|ECS-107","RCW1-014","supports_reason_code","source_probe_bound","source_probe_bound","triaged_source_probe_bound","triaged_source_probe_bound","synced_probe_ids_and_promoted_status","grid_reference_support_observed"
"RCS1-015","SUMIF","3","volatile_or_recalc_sensitive","ECS-001|ECS-002|ECS-108","RCW1-015|RCW1-016","counter_signal_present|reason_code_review_required","source_probe_bound_with_counter_signal","source_probe_bound_with_counter_signal","needs_reason_code_review","needs_reason_code_review","synced_probe_ids_and_flagged_reason_code_review","dependency_sensitive_change_observed|counter_signal_for_volatile_tag"
"RCS1-022","T","3","type_or_coercion_sensitive","ECS-001|ECS-002|ECS-109","RCW1-023","supports_reason_code","source_probe_bound","source_probe_bound","triaged_source_probe_bound","triaged_source_probe_bound","synced_probe_ids_and_promoted_status","type_coercion_support_observed"
"RCS1-016","TEXT","3","format_visible_behavior","ECS-001|ECS-002|ECS-110","RCW1-017","supports_reason_code","source_probe_bound","source_probe_bound","triaged_source_probe_bound","triaged_source_probe_bound","synced_probe_ids_and_promoted_status","format_visible_support_observed"
"RCS1-002","TODAY","3","volatile_or_recalc_sensitive|format_visible_behavior","ECS-001|ECS-002|ECS-059","RCW1-002","supports_reason_code_with_caveat","source_probe_bound","source_probe_bound","triaged_source_probe_bound","triaged_source_probe_bound","synced_probe_ids_and_promoted_status","date_system_sensitive_support"
"RCS1-020","TYPE","3","type_or_coercion_sensitive","ECS-001|ECS-002|ECS-111","RCW1-021","supports_reason_code","source_probe_bound","source_probe_bound","triaged_source_probe_bound","triaged_source_probe_bound","synced_probe_ids_and_promoted_status","type_coercion_support_observed"
"RCS1-019","VALUE","3","type_or_coercion_sensitive","ECS-001|ECS-002|ECS-019","RCW1-020","supports_reason_code","source_probe_bound","source_probe_bound","triaged_source_probe_bound","triaged_source_probe_bound","synced_probe_ids_and_promoted_status","type_coercion_support_observed"
"RCS1-023","VALUETOTEXT","3","type_or_coercion_sensitive|format_visible_behavior","ECS-001|ECS-002|ECS-020","RCW1-024","supports_reason_code","source_probe_bound","source_probe_bound","triaged_source_probe_bound","triaged_source_probe_bound","synced_probe_ids_and_promoted_status","type_coercion_support_observed"
