"probe_id","scenario_id","target_rules","expected_outcome_class","fixture_requirements","formula_input","target_cell","observed_acceptance","result_class","run_exit_status","evidence_bundle_ref"
"P2-FML-007","FMLP2-026","FML-R-009","rejected","Table TblParse with Amount column","=SUM(TblParse[[#All],[Amount])","Sheet1!D1","rejected","matches_expected","success","evidence\FMLP2-026"
"P2-FML-008","FMLP2-027","FML-R-003;FML-R-004;FML-R-005","probe","A1 spill anchor for SEQUENCE(3)","=@A1#","Sheet1!D1","accepted","probe","success","evidence\FMLP2-027"
"P2-FML-008","FMLP2-028","FML-R-003;FML-R-005","probe","A1 spill anchor for SEQUENCE(3)","=@SEQUENCE(3)","Sheet1!D1","accepted","probe","success","evidence\FMLP2-028"
"P2-FML-008","FMLP2-029","FML-R-004;FML-R-005","probe","A1 non-spill scalar","=A1#","Sheet1!D1","accepted","probe","success","evidence\FMLP2-029"
"P2-FML-009","FMLP2-030","FML-R-007","accepted","Table TblParse with Amount column","=sum(tblparse[amount])","Sheet1!D1","accepted","matches_expected","success","evidence\FMLP2-030"
"P2-FML-009","FMLP2-031","FML-R-007","probe","Workbook name MyName configured","=sum(MyName)","Sheet1!D1","accepted","probe","success","evidence\FMLP2-031"
"P2-FML-010","FMLP2-032","FML-R-001;FML-R-002","accepted","no setup","=1+2*3","Sheet1!D1","accepted","matches_expected","success","evidence\FMLP2-032"
"P2-FML-010","FMLP2-033","FML-R-001;FML-R-002","accepted","no setup","=(1+2)*3","Sheet1!D1","accepted","matches_expected","success","evidence\FMLP2-033"
"P2-FML-010","FMLP2-034","FML-R-001;FML-R-002","probe","no setup","=-2^2","Sheet1!D1","accepted","probe","success","evidence\FMLP2-034"
"P2-FML-010","FMLP2-035","FML-R-001;FML-R-002","probe","no setup","=1+2&3","Sheet1!D1","accepted","probe","success","evidence\FMLP2-035"
"P2-FML-004","FMLP2-036","FML-R-006","probe","A1:C3 populated","=BYCOL(A1:C3,LAMBDA(c,SUM(c)))","Sheet1!D1","accepted","probe","success","evidence\FMLP2-036"
"P2-FML-004","FMLP2-037","FML-R-006","probe","A1:A3 populated","=REDUCE(0,A1:A3,LAMBDA(a,b,a+b))","Sheet1!D1","accepted","probe","success","evidence\FMLP2-037"
