"scenario_id","fixture_profile","fixture_path","manual_prep_required","manual_prep_note"
"FMLP2-013","baseline","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-013.xlsx","False",""
"FMLP2-014","baseline","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-014.xlsx","False",""
"FMLP2-015","baseline","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-015.xlsx","False",""
"FMLP2-016","baseline","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-016.xlsx","False",""
"FMLP2-017","baseline","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-017.xlsx","False",""
"FMLP2-018","baseline","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-018.xlsx","False",""
"FMLP2-019","manual_name_shadowing","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-019.xlsx","True","Add a sheet-local name MyName on Sheet1 that intentionally shadows workbook-level MyName before execution."
"FMLP2-020","workbook_name","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-020.xlsx","False",""
"FMLP2-021","external_workbook_present","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-021.xlsx","True","Create support workbook Book2.xlsx (Sheet1!A1 populated) under fixtures/formula_parse_pass2/support before execution."
"FMLP2-022","external_workbook_missing","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-022.xlsx","False",""
"FMLP2-023","table_tblparse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-023.xlsx","False",""
"FMLP2-024","table_tblparse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-024.xlsx","False",""
"FMLP2-025","table_tblparse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-025.xlsx","False",""
"FMLP2-026","table_tblparse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-026.xlsx","False",""
"FMLP2-027","spill_anchor","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-027.xlsx","False",""
"FMLP2-028","spill_anchor","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-028.xlsx","False",""
"FMLP2-029","baseline","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-029.xlsx","False",""
"FMLP2-030","table_tblparse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-030.xlsx","False",""
"FMLP2-031","workbook_name","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-031.xlsx","False",""
"FMLP2-032","baseline","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-032.xlsx","False",""
"FMLP2-033","baseline","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-033.xlsx","False",""
"FMLP2-034","baseline","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-034.xlsx","False",""
"FMLP2-035","baseline","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-035.xlsx","False",""
"FMLP2-036","baseline","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-036.xlsx","False",""
"FMLP2-037","baseline","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-037.xlsx","False",""
