source_id,topic_id,type,title_or_work,person_or_org,url_or_ref,relevance,status,added_utc,notes
R-SRC-011,R-TOPIC-001,docs,Excel Recalculation,Microsoft Learn,https://learn.microsoft.com/en-us/office/client-developer/excel/excel-recalculation,Baseline recalculation semantics and async behavior reference,screened,2026-02-22T08:40:00Z,Captured in internal run1 source list
R-SRC-012,R-TOPIC-001,standard,ECMA-376 Office Open XML,Ecma International,https://ecma-international.org/publications-and-standards/standards/ecma-376/,Primary OOXML standard source,screened,2026-02-22T08:40:00Z,Captured in internal run1 source list
R-SRC-013,R-TOPIC-001,standard,OpenDocument v1.3,OASIS,https://www.oasis-open.org/standard/open-document-format-for-office-applications-opendocument-version-1-3/,Primary ODF and OpenFormula source,screened,2026-02-22T08:40:00Z,Captured in internal run1 source list
R-SRC-014,R-TOPIC-002,book,Specifying Systems,Leslie Lamport,https://lamport.org/tla/book.html,Canonical TLA+ reference for protocol modeling,screened,2026-02-22T08:40:00Z,Used in both internal runs
R-SRC-015,R-TOPIC-002,docs,TLA+ Hyperbook,Leslie Lamport,https://lamport.org/tla/hyperbook.html,Practical TLA+ idioms and examples,screened,2026-02-22T08:40:00Z,Used in run2
R-SRC-016,R-TOPIC-002,tool_docs,TLA+ Toolbox,TLA+,https://lamport.azurewebsites.net/tla/toolbox.html,Primary TLC execution tooling docs,screened,2026-02-22T08:40:00Z,Used in run2
R-SRC-017,R-TOPIC-002,tool_docs,Apalache docs,Informal Systems,https://apalache-mc.org/docs/,Symbolic model-checking complement to TLC,screened,2026-02-22T08:40:00Z,Used in run2
R-SRC-018,R-TOPIC-002,article,How AWS Uses Formal Methods,AWS and CACM,https://cacm.acm.org/research/how-amazon-web-services-uses-formal-methods/,Production formal-methods case study for ROI framing,screened,2026-02-22T08:40:00Z,Used in both internal runs
R-SRC-019,R-TOPIC-001,docs,Theorem Proving in Lean 4,Lean community,https://leanprover.github.io/theorem_proving_in_lean4/,Primary Lean practical proving guide,screened,2026-02-22T08:40:00Z,Used in run1
R-SRC-020,R-TOPIC-001,docs,OCaml Manual,OCaml,https://ocaml.org/manual/latest,Primary OCaml language and tooling reference,screened,2026-02-22T08:40:00Z,Used in run1
R-SRC-021,R-TOPIC-005,technical_report,A Spreadsheet Core Implementation in C#,Peter Sestoft,https://en.itu.dk/Research/Technical-Reports/Technical-Reports-Archive/2006/TR-2006-91/,Direct spreadsheet engine implementation research source,screened,2026-02-22T08:40:00Z,Used in run1
R-SRC-022,R-TOPIC-005,technical_report,Spreadsheet Technology,Peter Sestoft,https://en.itu.dk/Research/Technical-Reports/Technical-Reports-Archive/2011/TR-2011-142/,Sheet-defined function and implementation research source,screened,2026-02-22T08:40:00Z,Used in run1
R-SRC-023,R-TOPIC-005,project_page,Corecalc and Funcalc portal,Peter Sestoft,https://www.itu.dk/~sestoft/funcalc/,Project/code anchor for Sestoft work,screened,2026-02-22T08:40:00Z,Used in run1
R-SRC-024,R-TOPIC-005,publication_index,Felienne publications,Felienne Hermans,https://www.felienne.com/publications,Primary publication index for spreadsheet research,screened,2026-02-22T08:40:00Z,Used in run1
R-SRC-025,R-TOPIC-005,paper,A Maintainability Checklist for Spreadsheets,Vlootman and Hermans,https://arxiv.org/abs/1401.7814,Spreadsheet maintainability assessment framework,screened,2026-02-22T08:40:00Z,Used in run1
R-SRC-026,R-TOPIC-002,paper,A Critique of ANSI SQL Isolation Levels,Berenson et al,https://arxiv.org/abs/cs/0701157,Canonical isolation anomaly taxonomy reference,screened,2026-02-22T08:40:00Z,Used in run2
R-SRC-027,R-TOPIC-002,docs,FoundationDB Developer Guide,FoundationDB,https://apple.github.io/foundationdb/developer-guide.html,Strict-serializable transactional model reference,screened,2026-02-22T08:40:00Z,Used in runs 1 and 2
R-SRC-028,R-TOPIC-002,docs,FoundationDB Known Limitations,FoundationDB,https://apple.github.io/foundationdb/known-limitations.html,Operational constraints for liveness assumption design,screened,2026-02-22T08:40:00Z,Used in run2
R-SRC-029,R-TOPIC-002,docs,CockroachDB transaction layer,Cockroach Labs,https://www.cockroachlabs.com/docs/stable/architecture/transaction-layer.html,Modern MVCC transaction architecture reference,screened,2026-02-22T08:40:00Z,Used in run2
R-SRC-030,R-TOPIC-002,docs,PostgreSQL MVCC intro,PostgreSQL,https://www.postgresql.org/docs/current/mvcc-intro.html,Stable MVCC semantics vocabulary reference,screened,2026-02-22T08:40:00Z,Used in run2
R-SRC-031,R-TOPIC-001,repo,HyperFormula,Handsontable,https://github.com/handsontable/hyperformula,Active open-source spreadsheet engine reference,screened,2026-02-22T08:40:00Z,Used in run1
R-SRC-032,R-TOPIC-001,engineering_docs,Apache POI Formula Evaluation,Apache POI,https://poi.apache.org/components/spreadsheet/eval.html,Formula evaluator architecture reference,screened,2026-02-22T08:40:00Z,Used in runs 1 and 2
R-SRC-033,R-TOPIC-006,docs,Google Sheets API concepts,Google,https://developers.google.com/workspace/sheets/api/guides/concepts,System model reference for non-Excel spreadsheet platform,screened,2026-02-22T08:40:00Z,Used in run1 as landscape seed
R-SRC-034,R-TOPIC-002,reference,Jepsen consistency models,Jepsen,https://jepsen.io/consistency,Operational anomaly terminology reference,screened,2026-02-22T08:40:00Z,Used in run2
R-SRC-035,R-TOPIC-007,inventory,Jane Street GitHub org OCaml ecosystem sweep,Jane Street and GitHub API,https://api.github.com/orgs/janestreet/repos,Current broad inventory of Jane Street open-source OCaml and related repositories,screened,2026-02-22T12:34:25Z,Captured in run research/runs/20260222-123425-run4-janestreet-oxcaml-incremental-internal inputs and source list
R-SRC-036,R-TOPIC-007,docs,OxCaml language extension and tooling docs,OxCaml,https://oxcaml.org/documentation/language-extensions/,Primary source for OxCaml extension set and upstreaming/tooling posture,screened,2026-02-22T12:34:25Z,Used with get page and public project posts during run4
R-SRC-037,R-TOPIC-007,repo,Incremental implementation source deep dive,Jane Street,https://github.com/janestreet/incremental,Primary source for incremental recomputation architecture and implementation details,screened,2026-02-22T12:34:25Z,Deep dive captured in run4 response and incremental notes
R-SRC-038,R-TOPIC-007,package_registry,Current package versions for base/core/incremental,OPAM,https://opam.ocaml.org/packages/,Primary package-registry signal for current release line of key Jane Street libraries,screened,2026-02-22T12:34:25Z,Observed base/core 0.18.1 and incremental v0.18.0 in run4
R-SRC-039,R-TOPIC-007,repo,OxCaml compiler activity snapshot,OxCaml project,https://github.com/oxcaml/oxcaml,Primary source for branch/activity and evolution signals around OxCaml compiler fork,screened,2026-02-22T12:34:25Z,Captured via GitHub API metadata branches commits and docs notes in run4
