"manifest_id","function_name","tier","category","reason_codes","scenario_classes","status","notes"
"FMW1-016","SHEETS","3","Information functions","grid_reference_sensitive","reason_code_verifier|stability_probe","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-017","SUMIF","3","Math and trigonometry functions","volatile_or_recalc_sensitive","reason_code_verifier|stability_probe","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-018","T","3","Text functions","type_or_coercion_sensitive","reason_code_verifier|stability_probe","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-019","TEXT","3","Text functions","format_visible_behavior","reason_code_verifier|stability_probe","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-020","TODAY","3","Date and time functions","volatile_or_recalc_sensitive|format_visible_behavior","reason_code_verifier|stability_probe","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-021","TYPE","3","Information functions","type_or_coercion_sensitive","reason_code_verifier|stability_probe","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-022","VALUE","3","Text functions","type_or_coercion_sensitive","reason_code_verifier|stability_probe","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-023","VALUETOTEXT","3","Text functions","type_or_coercion_sensitive|format_visible_behavior","reason_code_verifier|stability_probe","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-024","BYCOL","4","Logical functions","functional_lambda_family","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-025","BYROW","4","Logical functions","functional_lambda_family","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-026","CHOOSECOLS","4","Lookup and reference functions","dynamic_array_or_spill","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-027","CHOOSEROWS","4","Lookup and reference functions","dynamic_array_or_spill","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-028","CUBEKPIMEMBER","4","Cubes","cube_context","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-029","CUBEMEMBER","4","Cubes","cube_context","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-030","CUBEMEMBERPROPERTY","4","Cubes","cube_context","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-031","CUBERANKEDMEMBER","4","Cubes","cube_context","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-032","CUBESET","4","Cubes","cube_context","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-033","CUBESETCOUNT","4","Cubes","cube_context","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-034","CUBEVALUE","4","Cubes","cube_context","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-035","DROP","4","Lookup and reference functions","dynamic_array_or_spill","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-036","ENCODEURL","4","Web functions","external_data_or_services","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-037","EXPAND","4","Lookup and reference functions","dynamic_array_or_spill","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-038","FILTER","4","Our 10 featured functions","dynamic_array_or_spill","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-039","FILTERXML","4","Web functions","external_data_or_services","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-040","GROUPBY","4","Lookup and reference functions","dynamic_array_or_spill","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-041","HSTACK","4","Lookup and reference functions","dynamic_array_or_spill","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-042","ISOMITTED","4","Information functions","functional_lambda_family","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-043","LAMBDA","4","Logical functions","functional_lambda_family","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-044","LET","4","Our 10 featured functions","functional_lambda_family","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-045","MAKEARRAY","4","Logical functions","functional_lambda_family","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-046","MAP","4","Logical functions","functional_lambda_family","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-047","PIVOTBY","4","Lookup and reference functions","dynamic_array_or_spill","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-048","RANDARRAY","4","Math and trigonometry functions","dynamic_array_or_spill","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-049","REDUCE","4","Logical functions","functional_lambda_family","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-050","SCAN","4","Logical functions","functional_lambda_family","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-051","SEQUENCE","4","Math and trigonometry functions","dynamic_array_or_spill","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-052","SORT","4","Lookup and reference functions","dynamic_array_or_spill","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-053","SORTBY","4","Lookup and reference functions","dynamic_array_or_spill","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-054","STOCKHISTORY","4","Information functions","external_data_or_services","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-055","TAKE","4","Lookup and reference functions","dynamic_array_or_spill","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-056","TOCOL","4","Lookup and reference functions","dynamic_array_or_spill","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-057","TOROW","4","Lookup and reference functions","dynamic_array_or_spill","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-058","TRANSPOSE","4","Lookup and reference functions","dynamic_array_or_spill","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-059","TRIMRANGE","4","Lookup and reference functions","dynamic_array_or_spill","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-060","UNIQUE","4","Our 10 featured functions","dynamic_array_or_spill","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-061","VSTACK","4","Lookup and reference functions","dynamic_array_or_spill","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-062","WEBSERVICE","4","Web functions","external_data_or_services","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-063","WRAPCOLS","4","Lookup and reference functions","dynamic_array_or_spill","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-064","WRAPROWS","4","Lookup and reference functions","dynamic_array_or_spill","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-065","XLOOKUP","4","Our 10 featured functions","dynamic_array_or_spill","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
"FMW1-066","XMATCH","4","Lookup and reference functions","dynamic_array_or_spill","mixed_type_array|spill_interaction|lambda_helper","seeded","Wave1 manifest seed generated from function_interest_index."
